feature_selection_method,n_feature_to_select,model_name,sn,sp,acc,mcc,auc
RFE_MLR,10,SVM,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,19,DT,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,20,DT,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,24,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,34,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,41,DT,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,52,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,53,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,95,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,102,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,103,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,104,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,105,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,106,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,123,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,130,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,131,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,5,SVM,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,7,SVM,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,8,SVM,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,11,SVM,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,22,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,25,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,57,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,59,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,66,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,69,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,82,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,86,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,90,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_DT,111,KNN,0.625,0.454545455,0.555555556,0.048167165,0.539772727
RFE_MLR,26,DT,0.4375,0.636363636,0.518518519,0.037223774,0.536931818
RFE_MLR,64,DT,0.4375,0.636363636,0.518518519,0.037223774,0.536931818
RFE_MLR,75,DT,0.4375,0.636363636,0.518518519,0.037223774,0.536931818
RFE_MLR,78,DT,0.4375,0.636363636,0.518518519,0.037223774,0.536931818
RFE_DT,10,DT,0.4375,0.636363636,0.518518519,0.037223774,0.536931818
RFE_MLR,14,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,22,DT,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,23,DT,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,37,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,59,DT,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,66,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,122,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,129,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,6,DT,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,30,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,34,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,53,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,68,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,77,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,79,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,89,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,92,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,95,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,101,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,104,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,106,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,115,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,127,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,128,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,131,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,138,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_DT,139,KNN,0.6875,0.363636364,0.555555556,0.035754847,0.525568182
RFE_MLR,47,DT,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_MLR,55,KNN,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_MLR,115,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_MLR,118,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,4,KNN,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,7,KNN,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,9,KNN,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,20,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,20,KNN,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,26,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,29,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,31,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,32,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,33,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,44,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,51,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,52,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,53,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,54,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,55,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
RFE_DT,56,SVM,0.5,0.545454545,0.518518519,0.024140227,0.522727273
